,median,median_perc,mean,std,min,max,over_threshold,names
hsa:347411,0.0,0.0,2.548418052631579e-09,1.504209713835271e-08,0.0,1.4702658e-07,False,MPC1L; mitochondrial pyruvate carrier 1
hsa:8907,9.973377e-10,8.305356297049505e-07,1.0367310835922814e-06,2.1056885567408743e-06,0.0,9.547794e-06,False,AP1M1; adaptor related protein complex 1 subunit mu
hsa:5810,0.0,0.0,5.846042632631579e-06,1.851823510466595e-05,0.0,0.00013230485,False,RAD1; RAD1 checkpoint DNA
hsa:7358,6.8048735e-07,0.0005666776556611697,0.00011896207983907202,0.00023253128488285655,0.0,0.0016421132,False,UGDH; UDP-glucose
hsa:406910,0.0,0.0,0.0,0.0,0.0,0.0,False,MIR125A; microRNA
hsa:55304,0.0,0.0,2.873446310643275e-06,1.005746635178154e-05,0.0,9.156104e-05,False,SPTLC3; serine palmitoyltransferase long chain base subunit
hsa:5528,0.0,0.0,1.6931394775526316e-05,3.910462811046553e-05,0.0,0.000191152,False,PPP2R5D; protein phosphatase 2 regulatory subunit
hsa:2767,0.0,0.0,0.00046924412279649103,0.0007421672775688085,0.0,0.004764327,False,GNA11; G protein subunit alpha
hsa:727,1.1073113e-05,0.0092211643841891,3.9346117740116965e-05,5.729733449163843e-05,0.0,0.00023713504,False,C5; complement
hsa:10999,2.5629872e-05,0.021343344266217226,0.0002539000724538013,0.0004226662388419889,0.0,0.0029261848,False,SLC27A4; solute carrier family 27 member
hsa:7469,0.0,0.0,4.6847724939198244e-05,0.00014361071321742098,0.0,0.0009959246,False,NELFA; negative elongation factor complex member
hsa:5279,0.0,0.0,2.192625146578947e-05,3.770841664414755e-05,0.0,0.00023841378,False,PIGC; phosphatidylinositol glycan anchor biosynthesis class
hsa:100133941,0.0003454852,0.28770372175416686,0.00075774861878538,0.0012186028230904275,0.0,0.0072389017,False,CD24; CD24
hsa:302,0.0,0.0,1.3990587402748535e-07,2.4389797728862497e-07,0.0,1.4995688e-06,False,ANXA2; annexin
hsa:5948,0.0,0.0,1.6322798741520476e-05,4.085835310856479e-05,0.0,0.00029733934,False,RBP2; retinol binding protein
hsa:2691,0.0,0.0,4.633909018210527e-06,3.2151290258199906e-05,0.0,0.00040647606,False,GHRH; growth hormone releasing
hsa:390154,0.0,0.0,1.3223990643274854e-09,1.7292611653308746e-08,0.0,2.2613024e-07,False,OR5T3; olfactory receptor family 5 subfamily T member
hsa:25942,2.136149e-06,0.001778883777138476,8.94243990356725e-05,0.0002575034671678208,0.0,0.0016306458,False,SIN3A; SIN3 transcription regulator family member
hsa:6550,0.0,0.0,7.710801158479533e-06,3.5511016303918386e-05,0.0,0.00038818704,False,SLC9A3; solute carrier family 9 member
hsa:391112,0.0,0.0,3.0986267543859645e-08,3.359541737764452e-07,0.0,4.343878e-06,False,OR6Y1; olfactory receptor family 6 subfamily Y member
hsa:6249,1.5227086e-09,1.2680396479127817e-06,6.410794960327484e-07,1.0170870139291136e-06,0.0,6.626233e-06,False,CLIP1; CAP-Gly domain containing linker protein
